Vertex	Eccentricity	Graph Size 16384
0	8
1	8
2	8
3	9
4	9
5	11
6	9
7	9
8	8
9	9
10	8
11	9
12	9
13	9
14	9
15	11
16	8
17	9
18	9
19	9
20	9
21	10
22	9
23	9
24	8
25	10
26	10
27	11
28	9
29	9
30	9
31	11
32	9
33	9
34	8
35	9
36	9
37	9
38	9
39	10
40	9
41	9
42	9
43	10
44	10
45	10
46	9
47	10
48	9
49	10
50	10
51	9
52	9
53	11
54	11
55	11
56	10
57	11
58	10
59	11
60	10
61	10
62	13
63	12
64	9
65	9
66	9
67	9
68	9
69	9
70	10
71	10
72	9
73	10
74	10
75	10
76	9
77	10
78	9
79	10
80	9
81	9
82	9
83	9
84	10
85	10
86	10
87	10
88	10
89	10
90	11
91	9
92	9
93	11
94	10
95	10
96	9
97	9
98	9
99	10
100	10
101	10
102	10
103	11
104	9
105	11
106	10
107	10
108	10
109	11
110	10
111	11
112	11
113	11
114	11
115	12
116	10
117	10
118	11
119	11
120	9
121	11
122	10
123	11
124	9
125	12
126	12
127	12
128	8
129	8
130	9
131	10
132	10
133	10
134	9
135	10
136	8
137	9
138	9
139	10
140	9
141	9
142	10
143	11
144	8
145	10
146	9
147	9
148	9
149	9
150	10
151	11
152	9
153	10
154	10
155	10
156	10
157	9
158	10
159	11
160	9
161	10
162	9
163	9
164	9
165	10
166	9
167	11
168	9
169	9
170	10
171	11
172	9
173	10
174	10
175	10
176	9
177	10
178	10
179	10
180	12
181	10
182	11
183	12
184	10
185	13
186	11
187	11
188	10
189	11
190	14
191	0
192	9
193	9
194	9
195	10
196	10
197	10
198	10
199	11
200	10
201	9
202	11
203	10
204	11
205	12
206	10
207	10
208	9
209	10
210	10
211	10
212	11
213	12
214	10
215	10
216	10
217	11
218	10
219	11
220	11
221	12
222	12
223	13
224	10
225	9
226	10
227	11
228	11
229	12
230	11
231	11
232	9
233	9
234	10
235	11
236	11
237	11
238	11
239	0
240	10
241	10
242	14
243	0
244	11
245	10
246	10
247	11
248	10
249	12
250	13
251	0
252	11
253	12
254	11
255	0
256	8
257	9
258	9
259	10
260	9
261	9
262	9
263	11
264	9
265	9
266	9
267	11
268	9
269	10
270	11
271	10
272	8
273	10
274	9
275	10
276	10
277	11
278	10
279	10
280	10
281	9
282	9
283	10
284	10
285	10
286	9
287	11
288	8
289	9
290	9
291	11
292	9
293	10
294	11
295	10
296	10
297	10
298	10
299	0
300	11
301	10
302	11
303	11
304	10
305	9
306	10
307	11
308	10
309	11
310	10
311	10
312	10
313	11
314	12
315	11
316	11
317	12
318	10
319	0
320	9
321	9
322	9
323	11
324	9
325	11
326	9
327	11
328	11
329	10
330	10
331	10
332	10
333	10
334	10
335	11
336	9
337	10
